[INFO] [2023-08-01 12:29:36,714] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:29:36,730] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:29:36,730] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:30:52,830] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:30:52,861] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:30:54,115] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:30:54,146] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:30:54,146] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:30:54,162] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:30:54,162] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:31:51,697] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:31:51,729] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:31:52,882] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:31:52,897] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:31:52,897] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:31:52,913] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:31:52,913] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:32:35,970] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:32:36,001] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:32:37,331] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:32:37,346] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:32:37,346] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:32:37,362] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:32:37,362] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:32:58,395] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:32:58,426] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:32:59,580] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:32:59,595] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:32:59,595] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:32:59,611] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:32:59,611] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:33:44,433] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:33:44,479] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:33:45,663] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:33:45,694] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:33:45,694] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:33:45,694] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:33:45,709] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:34:07,502] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:34:07,533] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:34:08,759] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:34:08,790] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:34:08,790] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:34:08,806] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:34:08,806] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:34:50,067] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:34:50,106] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:34:51,355] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:34:51,395] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:34:51,395] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:34:51,411] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:34:51,419] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:16:52,761] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:16:52,847] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 15:16:54,131] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:16:54,158] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 15:16:54,158] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 15:16:54,174] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:16:54,180] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 15:18:31,689] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 15:18:31,727] [Extractor]: Archivo datos_basicos.json convertido a df
